Col1,Col2,Col3
4.68,1.84,2.54
1.93,9.75,0.20
7.05,2.05,3.44
1.59,3.10,0.51
1.60,8.11,0.20
7.55,3.31,2.28
3.36,9.42,0.36
3.44,6.56,0.52
7.84,3.49,2.25
3.95,1.78,2.22
5.41,6.97,0.78
5.23,2.96,1.77
4.97,3.39,1.47
3.98,7.93,0.50
2.23,9.59,0.23
5.67,8.42,0.67
8.68,3.66,2.37
2.39,1.02,2.35
4.40,6.38,0.69
5.05,1.37,3.68
7.90,8.30,0.95
9.75,6.33,1.54
7.81,5.65,1.38
7.69,6.16,1.25
3.59,3.00,1.20
4.72,1.97,2.40
5.31,1.06,5.01
4.34,2.56,1.70
2.75,8.51,0.32
3.26,9.20,0.35
3.05,2.30,1.33
7.16,5.06,1.42
4.58,4.18,1.10
9.86,2.95,3.34
9.63,9.69,0.99
1.89,3.11,0.61
3.20,1.58,2.02
8.24,9.48,0.87
5.06,6.08,0.83
4.86,3.60,1.35
3.09,2.28,1.35
9.50,2.01,4.72
5.59,8.36,0.67
7.73,2.95,2.62
6.16,8.00,0.77
2.37,6.14,0.39
6.12,8.98,0.68
4.39,2.53,1.74
3.02,9.08,0.33
3.47,4.24,0.82
9.62,8.29,1.16
2.93,4.41,0.66
6.08,3.04,2.00
5.11,5.72,0.89
8.31,1.24,6.71
8.64,6.51,1.33
2.52,3.51,0.72
6.36,3.98,1.60
5.18,5.02,1.03
2.10,9.36,0.22
7.44,5.93,1.25
7.09,2.32,3.06
8.79,9.08,0.97
8.43,5.83,1.45
4.63,5.53,0.84
2.53,7.27,0.35
3.88,4.28,0.91
9.02,8.83,1.02
3.21,1.01,3.18
1.04,8.62,0.12
9.01,7.52,1.20
8.02,5.05,1.59
3.26,5.43,0.60
7.68,7.94,0.97
1.85,9.28,0.20
1.20,4.56,0.26
9.96,5.70,1.75
1.84,3.35,0.55
6.34,7.62,0.83
7.52,4.02,1.87
7.66,3.29,2.33
2.96,3.38,0.88
6.47,9.30,0.70
2.19,1.00,2.18
5.53,1.30,4.25
9.68,2.06,4.71
5.79,5.36,1.08
7.03,8.49,0.83
9.37,8.58,1.09
1.79,2.16,0.83
5.65,5.01,1.13
4.24,9.33,0.45
2.77,6.29,0.44
2.70,4.17,0.65
9.36,7.09,1.32
1.14,7.97,0.14
5.98,1.27,4.70
1.36,3.89,0.35
4.50,5.39,0.84
5.89,9.38,0.63
8.15,8.43,0.97
2.46,7.64,0.32
7.79,4.86,1.60
5.99,5.00,1.20
2.66,5.07,0.53
6.68,3.99,1.67
4.79,3.87,1.24
1.04,7.39,0.14
5.50,4.08,1.35
4.74,5.21,0.91
2.49,6.53,0.38
7.93,7.63,1.04
5.64,7.65,0.74
2.37,9.16,0.26
9.24,4.08,2.26
2.24,6.57,0.34
1.37,8.02,0.17
5.24,4.28,1.22
8.32,3.55,2.34
1.84,7.26,0.25
3.71,5.24,0.71
8.72,2.69,3.24
1.89,4.20,0.45
7.84,1.20,6.52
3.92,7.89,0.50
8.13,8.43,0.96
1.98,3.02,0.66
6.65,5.89,1.13
5.49,4.81,1.14
9.53,7.74,1.23
2.73,5.23,0.52
1.25,8.63,0.14
9.69,7.66,1.26
2.20,4.88,0.45
6.75,3.83,1.76
5.66,5.04,1.12
7.08,7.39,0.96
7.74,8.72,0.89
7.99,1.45,5.52
7.42,4.30,1.72
5.20,8.70,0.60
3.08,8.84,0.35
6.14,2.91,2.11
9.45,2.84,3.33
8.97,7.82,1.15
2.68,7.02,0.38
4.97,9.27,0.54
1.49,7.95,0.19
5.98,5.92,1.01
8.68,6.85,1.27
4.49,8.51,0.53
2.85,8.05,0.35
9.69,2.35,4.13
1.56,9.06,0.17
4.75,4.98,0.95
8.07,7.38,1.09
3.42,4.54,0.75
8.15,8.20,0.99
5.03,9.04,0.56
1.44,7.33,0.20
2.06,2.84,0.72
8.89,3.76,2.36
1.07,4.96,0.22
4.56,4.74,0.96
4.07,1.83,2.22
7.61,2.02,3.76
4.89,6.36,0.77
6.14,9.35,0.66
2.81,2.48,1.13
9.87,1.81,5.46
7.26,8.86,0.82
8.98,1.73,5.18
1.63,6.17,0.27
5.24,1.00,5.22
8.86,9.57,0.93
3.32,9.29,0.36
7.23,9.88,0.73
5.94,8.67,0.69
1.92,4.99,0.39
6.36,1.40,4.55
2.38,7.92,0.30
5.69,8.41,0.68
7.46,9.22,0.81
2.34,6.64,0.35
3.75,2.74,1.37
5.61,3.88,1.44
5.17,5.84,0.89
8.72,3.47,2.51
7.66,6.44,1.19
4.36,7.75,0.56
7.10,6.58,1.08
9.81,1.79,5.48
4.79,7.92,0.60
5.87,6.95,0.84
7.52,9.74,0.77
1.26,6.34,0.20
2.56,1.78,1.43
9.42,9.03,1.04
1.20,3.95,0.30
6.19,4.72,1.31
8.11,7.69,1.06
2.52,5.97,0.42
6.81,1.36,4.99
6.03,9.59,0.63
2.55,3.60,0.71
8.03,9.21,0.87
7.37,8.80,0.84
8.54,1.73,4.92
9.84,8.83,1.11
6.19,4.76,1.30
7.76,2.68,2.90
4.10,7.03,0.58
4.83,5.46,0.88
7.42,9.74,0.76
8.95,4.71,1.90
4.04,6.22,0.65
1.29,4.60,0.28
9.58,6.50,1.47
9.89,2.99,3.31
9.44,3.93,2.40
6.89,4.80,1.44
2.07,5.04,0.41
5.12,7.33,0.70
8.84,5.01,1.77
4.26,6.56,0.65
5.19,9.31,0.56
4.50,5.87,0.77
3.84,9.12,0.42
1.38,4.18,0.33
3.62,2.76,1.31
4.31,2.17,1.98
7.28,2.56,2.84
7.70,5.85,1.32
4.24,9.95,0.43
5.80,5.14,1.13
8.28,8.43,0.98
1.93,1.56,1.23
3.70,5.08,0.73
1.90,2.96,0.64
7.52,9.97,0.75
2.74,3.65,0.75
5.88,5.46,1.08
6.38,2.83,2.26
7.38,1.80,4.09
9.32,1.14,8.19
7.08,3.02,2.35
6.31,2.10,3.00
7.45,6.98,1.07
1.45,9.26,0.16
7.26,2.82,2.57
1.81,8.73,0.21
8.53,9.39,0.91
5.77,8.84,0.65
9.59,7.10,1.35
1.43,7.68,0.19
6.31,2.64,2.39
3.36,6.79,0.50
1.52,9.92,0.15
7.19,6.58,1.09
8.65,3.25,2.66
2.20,4.93,0.45
5.79,3.76,1.54
8.40,3.29,2.55
8.67,7.04,1.23
3.46,1.85,1.87
3.61,4.31,0.84
7.12,4.41,1.61
9.51,4.36,2.18
9.91,1.07,9.29
4.01,2.49,1.61
6.77,8.37,0.81
4.54,4.99,0.91
3.21,8.32,0.39
9.46,8.21,1.15
1.53,7.87,0.19
6.94,7.04,0.99
3.22,2.16,1.49
4.45,1.98,2.25
1.21,7.06,0.17
3.25,6.05,0.54
7.88,1.26,6.27
5.26,3.25,1.62
5.89,3.20,1.84
1.34,4.99,0.27
7.98,6.02,1.33
2.60,7.76,0.33
8.93,4.42,2.02
3.83,5.01,0.76
4.35,1.83,2.37
4.75,9.45,0.50
6.13,4.89,1.25
8.72,1.84,4.74
9.19,3.78,2.43
4.03,4.82,0.84
7.82,6.03,1.30
9.82,3.73,2.64
9.26,8.53,1.09
1.58,1.11,1.42
6.34,8.27,0.77
7.67,4.77,1.61
4.26,4.98,0.86
4.54,6.89,0.66
9.03,9.94,0.91
8.16,5.10,1.60
3.34,2.85,1.17
1.15,4.22,0.27
7.75,2.03,3.82
8.36,8.31,1.01
9.10,9.02,1.01
6.03,9.69,0.62
7.19,4.65,1.55
6.93,8.51,0.81
8.06,1.45,5.58
7.83,2.06,3.81
2.26,6.93,0.33
8.13,1.16,7.01
4.97,3.57,1.39
7.09,8.56,0.83
2.79,1.01,2.75
2.04,6.01,0.34
7.48,9.16,0.82
2.28,7.06,0.32
8.16,7.92,1.03
5.48,4.75,1.15
4.10,9.49,0.43
4.42,5.88,0.75
1.36,1.00,1.35
3.93,6.79,0.58
4.30,6.95,0.62
6.76,6.68,1.01
3.39,4.21,0.80
8.11,8.86,0.92
8.08,2.74,2.95
1.63,5.28,0.31
6.92,2.21,3.14
3.14,5.78,0.54
7.38,6.95,1.06
5.51,5.88,0.94
8.87,7.71,1.15
8.02,1.93,4.17
9.86,2.11,4.67
