Col1,Col2,Col3
6.33,6.51,41.19
7.68,9.59,73.64
7.10,6.44,45.78
3.27,9.81,32.09
5.93,4.24,25.13
4.49,9.03,40.54
1.01,2.33,2.36
7.22,5.19,37.43
8.75,5.84,51.12
7.90,8.31,65.66
3.63,3.65,13.25
1.79,4.07,7.27
3.06,8.77,26.81
1.36,2.08,2.82
2.60,4.32,11.26
2.44,6.97,17.03
2.20,2.54,5.58
4.18,9.75,40.81
2.84,5.03,14.27
1.94,5.49,10.67
5.79,7.79,45.11
4.47,9.92,44.37
8.13,8.00,65.04
9.55,9.62,91.89
7.59,7.26,55.06
6.27,1.97,12.35
2.16,2.31,4.97
8.97,5.39,48.28
1.71,2.95,5.04
8.70,2.57,22.33
8.69,6.27,54.50
5.23,3.93,20.56
8.45,7.40,62.48
1.70,1.78,3.01
2.54,4.79,12.15
4.46,6.03,26.85
2.01,5.10,10.24
8.70,3.78,32.88
2.63,7.34,19.27
6.37,6.02,38.36
7.04,3.15,22.15
5.23,1.21,6.35
3.75,6.66,24.95
8.56,6.04,51.73
6.52,6.45,42.03
8.28,2.44,20.17
5.64,8.75,49.39
8.82,8.05,71.00
4.16,9.84,40.91
9.57,4.46,42.66
4.04,2.12,8.57
3.26,3.68,12.02
7.42,2.11,15.69
1.52,1.27,1.93
3.28,1.93,6.32
7.65,8.68,66.37
7.68,1.11,8.54
8.98,4.14,37.18
2.43,2.55,6.19
9.25,9.29,85.91
5.67,6.22,35.25
6.93,5.36,37.15
7.53,4.72,35.58
9.46,7.68,72.70
3.53,3.97,14.02
6.53,6.40,41.78
8.90,4.43,39.44
1.50,3.34,5.02
3.47,9.40,32.65
9.54,1.14,10.84
4.82,2.30,11.07
9.82,2.58,25.37
6.05,8.19,49.57
3.07,8.93,27.46
5.43,3.92,21.30
3.48,2.63,9.15
8.74,7.19,62.79
9.99,3.53,35.27
3.34,4.39,14.65
3.99,1.40,5.58
4.37,3.72,16.26
2.77,8.07,22.39
8.13,7.48,60.78
5.43,7.68,41.70
8.06,5.41,43.58
7.99,1.22,9.72
9.68,2.00,19.40
9.63,8.25,79.44
9.02,2.93,26.39
8.84,2.41,21.31
3.74,3.74,14.00
3.42,6.79,23.23
1.66,6.24,10.35
2.49,7.81,19.41
1.55,2.46,3.80
7.48,6.78,50.70
1.35,2.00,2.69
6.67,8.93,59.63
