Col1,Col2,Col3
6.88,9.97,-3.09
5.62,7.61,-1.98
3.65,5.80,-2.15
5.67,7.37,-1.70
8.84,9.22,-0.39
6.70,3.88,2.81
6.81,1.72,5.09
3.56,1.02,2.54
8.21,4.99,3.23
8.10,3.95,4.15
5.10,8.35,-3.25
5.76,6.37,-0.61
9.36,5.97,3.39
8.81,5.46,3.35
4.83,2.26,2.57
6.02,2.56,3.45
1.66,5.69,-4.03
1.14,7.36,-6.22
6.01,1.47,4.54
7.57,4.25,3.31
2.92,3.97,-1.05
5.16,9.47,-4.31
5.85,6.47,-0.62
7.29,8.97,-1.68
5.34,3.71,1.63
1.21,2.69,-1.48
6.80,6.58,0.22
7.70,3.77,3.93
3.93,7.64,-3.71
1.24,5.46,-4.23
7.33,3.52,3.81
7.90,4.15,3.75
5.12,3.11,2.00
8.83,1.96,6.87
1.72,4.20,-2.48
8.20,6.63,1.56
3.44,7.73,-4.29
1.38,4.04,-2.66
3.09,7.79,-4.70
2.91,2.81,0.10
8.29,9.42,-1.13
1.82,2.56,-0.74
2.40,9.35,-6.95
9.10,6.83,2.27
5.14,7.61,-2.47
2.05,7.13,-5.08
7.54,5.92,1.62
3.03,9.31,-6.28
7.55,8.19,-0.64
6.36,1.61,4.76
8.80,6.11,2.69
1.25,8.50,-7.25
7.84,4.25,3.59
2.42,8.83,-6.41
4.57,5.12,-0.55
1.32,5.02,-3.70
3.06,9.03,-5.97
9.37,4.61,4.76
8.64,4.80,3.84
1.75,6.68,-4.92
7.36,9.71,-2.35
3.26,7.99,-4.73
3.64,2.12,1.52
8.64,8.77,-0.13
1.35,6.59,-5.23
3.55,9.93,-6.38
9.14,9.43,-0.29
8.57,5.07,3.50
6.10,5.80,0.30
3.60,7.74,-4.15
7.94,8.40,-0.46
4.07,5.21,-1.14
4.07,1.73,2.34
7.63,5.70,1.92
3.71,4.12,-0.41
9.07,7.84,1.22
3.69,5.63,-1.94
2.41,2.92,-0.51
5.09,7.89,-2.80
7.14,8.71,-1.57
2.02,8.14,-6.12
5.49,6.52,-1.03
1.71,3.64,-1.93
3.52,5.70,-2.18
5.83,1.87,3.96
4.67,7.34,-2.67
5.48,9.01,-3.53
9.83,9.88,-0.05
3.14,4.74,-1.60
6.04,4.89,1.15
8.22,7.90,0.32
3.60,3.04,0.56
4.66,8.49,-3.83
3.72,2.66,1.05
9.33,9.17,0.15
6.01,7.87,-1.87
3.09,4.37,-1.27
2.70,1.73,0.97
6.49,9.19,-2.70
9.74,4.61,5.13
4.02,1.11,2.91
1.22,2.35,-1.13
3.09,3.98,-0.89
5.73,1.45,4.28
5.16,8.12,-2.96
8.15,8.72,-0.57
2.13,5.59,-3.46
5.38,5.44,-0.06
6.96,5.57,1.38
9.57,5.76,3.81
1.94,4.13,-2.19
7.11,9.01,-1.90
7.74,4.87,2.87
6.13,3.26,2.87
2.93,9.06,-6.13
5.59,7.41,-1.82
7.20,7.57,-0.37
5.85,5.89,-0.04
1.49,8.94,-7.44
7.33,6.34,0.99
1.14,4.25,-3.11
2.18,3.08,-0.90
8.80,5.30,3.50
6.17,3.08,3.09
3.76,3.78,-0.02
8.35,6.42,1.92
5.31,6.77,-1.46
5.21,4.38,0.83
8.72,3.22,5.50
9.60,1.52,8.08
2.16,6.11,-3.95
